SMILES,melting_point,nHBAcc,nHBDon,nRot,RotRatio,SLogP,SMR,MW,AMW,WPath,WPol,Zagreb1,Zagreb2,mZagreb1,mZagreb2
CC1(C)CN1P(=O)(NC(=O)NC1CC(C)(C)N(O)C1(C)C)N1CC1(C)C,202.5,4,3,4,0.142857,2.6028,101.032,387.24,6.454,1610,43,156,194,13.1181,5
CC1=C(C)C2=C(C=CC=C2)C=C1,1.6,0,0,0,0,3.45664,53.422,156.094,6.50391,178,18,62,73,3.94444,2.66667
OC(CCN1CCCC1)(C1CCCCC1)C1=CC=CC=C1,86,2,1,5,0.217391,3.9404,87.2048,287.225,5.7445,903,30,108,126,5.39583,4.70833
CC1=CC(C)=C(C=C1C)N(=O)=O,71,2,0,1,0.0833333,2.52006,47.3074,165.079,7.17735,187,17,58,66,6.05556,2.66667
CCOC(=O)[C@]12C[C@@H](C3=CC=CC=C3)C3=CC=CC=C3[C@H]1C1=CC=CC=C1OC2=O,161.85,4,0,3,0.0882353,4.8226,112.33,398.152,7.65677,2016,61,168,210,8.3125,6.625
CN1C2=C(N(CCOC(=O)C3=CC=CN=C3)C=N2)C(=O)N(C)C1=O,151.5,9,0,4,0.153846,-0.3143,84.7345,329.112,8.43878,1451,40,126,151,8.5,5.30556
OC(=O)CCS,18,2,2,2,0.4,0.3909,26.1058,106.009,8.83407,32,3,20,18,3.61111,1.58333
CC(=O)CCC1=C(C2=CC=C(C)O2)C2=C(O1)C=CC(C)=C2,76,3,0,4,0.173913,4.83124,82.392,282.126,7.23399,888,30,112,132,7.13889,4.52778
CCOC(=O)C1=C(C)OC(N)=C(C1C1=CC=C(C=C1)N(C)C)C1=NC2=C(S1)C=CC=C2,215,7,1,5,0.147059,4.6407,124.655,435.162,7.77074,2463,54,166,200,10.5833,6.83333
CC1=C(CN)SC(=N1)C1=CC=CC=C1,230,3,1,2,0.133333,2.57722,60.1784,204.072,7.84893,304,18,70,81,4.44444,3.22222
CCC(C(CC)C1=CC=C(O)C(C)=C1)C1=CC(C)=C(O)C=C1,145,2,2,5,0.217391,5.40204,91.7516,298.193,6.21236,1035,36,110,129,8.88889,5.05556
[O-][N+](=O)C1=CC=C(CNC2=CC(=O)C3=CC=CC=C3C2=O)C=C1,235,5,1,4,0.16,2.6475,83.1221,308.08,8.80228,1304,37,120,141,7.63889,5.05556
CC(=O)NC1=C(C)C=CC2=C1C(=O)C1=CC=CC=C1C2=O,133,3,1,1,0.0434783,2.72882,78.7897,279.09,8.20852,814,39,114,139,7.75,4.55556
CSC1=NC2=C(N1C)C(=O)N=C(CC1=CC=CC=C1)N2,286,5,1,3,0.136364,1.9693,80.1587,286.089,8.41438,823,31,106,126,6.27778,4.44444
COC1=CC=CC2=C1OC(=C2)C(O)=O,219,3,1,2,0.133333,2.1396,49.7253,192.042,8.72919,287,20,72,85,5.05556,3.16667
COC1=CC=C(N\N=C2\C(=O)N(CO)N=C2C(F)(F)F)C=C1,142,6,2,4,0.173913,1.1734,71.4735,316.078,9.57813,1115,33,112,130,8.97917,4.91667
CC1=CC=C(\C=C2/CN(C3=C(C=CC=C3)N2S(=O)(=O)C2=CC=C(C)C=C2)S(=O)(=O)C2=CC=C(C)C=C2)C=C1,154.85,4,0,5,0.119048,6.05716,152.153,544.149,8.24468,4203,70,210,253,12.8472,8.02778
CCCCCCCCOC(=O)CCC,-55.6,2,0,9,0.692308,3.6902,59.243,200.178,5.26783,428,12,52,51,5.61111,3.66667
NC(N)=NS(=O)(=O)C1=CC=C(N)C=C1,192,3,3,2,0.142857,-0.7691,53.85,214.052,8.91885,307,18,68,75,6.64583,3.04167
O=C(NC1=CC=CC=C1SC(=O)C1=CC=CC=C1)C1=CC=CC=C1,152,3,1,4,0.153846,4.8714,97.4667,333.082,8.54057,1436,34,120,137,6.66667,5.41667
CCCC1C2CCC(C)(C1=O)C2(C)C,128,1,0,2,0.133333,3.4279,58.017,194.167,5.39353,259,26,80,103,6.45833,2.99306
OC(=O)C(=C)C1=CC=CC=C1,106.5,1,1,2,0.181818,1.7844,43.1118,148.052,7.79223,156,13,50,55,4.58333,2.55556
CC1=CC=C(C)C(C)=C1C,-0.2,0,0,0,0,2.92028,45.39,134.11,5.5879,109,14,48,55,4.94444,2.25
COC1=C(OC(C)=O)C2=C(C=C(F)C=C2)C(OC(C)=O)=C1OC,102.5,6,0,4,0.166667,2.8467,79.628,322.085,8.47593,1058,39,116,137,9.75,5.25
CC1=CC(F)=CC=C1S(N)(=O)=O,181,2,1,1,0.0833333,0.78152,42.5102,189.026,9.4513,186,16,60,67,6.14583,2.52778
CCOC(=O)C1=CC=C(C=C1NC(=O)C1=CC=CC=C1)[N+]([O-])=O,179,5,1,5,0.208333,3.0238,83.4481,314.09,8.48893,1214,34,112,128,8.52778,5.27778
CCC(C)C(O)=O,-70,1,1,2,0.333333,1.1171,27.0908,102.068,6.004,46,6,26,26,4.47222,1.77778
COC(=O)C1=C(C)NN=C1C,83,3,1,1,0.0909091,0.81314,39.4012,154.074,7.33687,147,14,52,60,5.19444,2.58333
ClC1=CC(Br)=CC(Cl)=C1,83,0,0,0,0,3.7559,44.162,223.88,18.6566,84,9,42,45,4.08333,2
CCCCCC(C)=C,-90,0,0,4,0.571429,3.1428,38.956,112.125,4.67188,79,5,28,26,4.11111,2.08333
CC1=NOC(N)=C1,83,3,1,0,0,0.56522,25.6524,98.048,7.54215,41,4,32,34,2.97222,1.58333
O=C1CCC2=C(N1)C=CC(OCCCCC1=NN=NN1C1CCCCC1)=C2,160,6,1,7,0.233333,3.4647,101.765,369.216,6.83734,2301,38,140,162,6.52778,6
CCC1=NOC(C)=C1C(O)=O,123,3,1,2,0.181818,1.24362,37.5773,155.058,7.75291,146,14,52,60,5.19444,2.58333
NC1=CC(Cl)=CC=C1S,98,2,2,0,0,2.2109,43.1164,158.991,10.5994,84,10,42,46,4.08333,2.02778
CN1C=CC2=C1CC(C)(C)CC2=O,109,2,0,0,0,2.1802,51.8455,177.115,6.32555,215,19,72,85,5.50694,2.66667
CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC2CCC(C)CC2)C1=O,207,5,3,7,0.194444,3.074,128.522,490.225,7.20919,4390,52,174,201,12.9236,7.48611
OC1=CC=CC(=C1)N1CCNCC1,207,3,2,1,0.0714286,0.8018,53.1895,178.111,6.59669,246,16,64,72,3.58333,2.94444
CCCC(O)C(O)=O,34,2,2,3,0.428571,0.232,28.5506,118.063,6.55906,70,7,30,30,4.72222,2.02778
NC1=C(\C=C\C2=C(C=C(C(\C=C\C3=CC=CC(=C3)[N+]([O-])=O)=C2)[N+]([O-])=O)[N+]([O-])=O)C=CC=C1,250,7,1,7,0.205882,5.3342,121.558,432.107,9.00223,3112,50,162,187,11.7222,7.08333
BrC1=C2C=CC3=CC=CC4=C3C2=C(C=C1)C=C4,95,0,0,0,0,5.3465,77.846,279.989,10.7688,428,33,100,125,4.02778,3.58333
CN(C)C(Cl)=O,-33,1,0,0,0,0.9068,24.936,107.014,8.91782,29,4,22,21,4.22222,1.44444
OC(=O)C(O)(O)C(O)(O)C(O)=O,114.5,6,6,3,0.272727,-3.4826,29.6088,182.006,10.1115,178,21,58,68,8.34722,2.5625
OC(=O)C1=C(C=CN=C1)C(F)(F)F,150,2,1,1,0.0769231,1.7986,36.1983,191.019,11.2364,228,18,64,72,6.39583,2.80556
CN(C)C1=CC=CC=C1C1=CC=CC=C1P(C1CCCCC1)C1CCCCC1,123,1,0,5,0.16129,7.1922,126.505,393.259,6.14466,1833,46,146,173,7.38889,6.27778
C[C@@H]1[C@@H]2CC[C@@H]3C([C@@H]2O)([C@H](O)C[C@@H]2C(C)(C)C[C@@H](O)C[C@@]32C)C1=O,377.4,4,3,0,0,2.1467,90.0674,336.23,6.00411,1031,59,148,194,10.3264,4.83333
CCCCCCCOC(=O)CCCCCC,-33,2,0,11,0.733333,4.4704,68.477,228.209,5.18657,632,14,60,59,6.11111,4.16667
CC(=O)NC1=CC=C(O)C=C1,169,2,2,1,0.0909091,1.3506,42.4105,151.063,7.55317,166,11,50,53,4.58333,2.5
CCOC1=CC(=CC=C1C(O)=O)[N+]([O-])=O,149.5,4,1,4,0.266667,1.6917,51.2247,211.048,8.79367,366,21,70,79,6.80556,3.5
OC(=O)C1=C(F)C=C(Br)C=C1,211.5,1,1,1,0.0909091,2.2864,41.0593,217.938,14.5292,150,14,52,58,5.19444,2.47222
COC1=CC=C(C=O)C=C1F,35,2,0,2,0.181818,1.6468,38.3395,154.043,8.55794,156,14,50,56,4.58333,2.69444
ClC1=CC2=C(N=CC=C2)C2=C1C=CC=N2,123,2,0,0,0,3.4364,62.054,214.03,9.72863,322,25,82,99,3.80556,3.27778
[O-][N+](=O)C1=CC=CC=C1COC(=O)NC1=CC=CC=C1,141,4,1,4,0.190476,3.3435,73.3461,272.08,8.50249,920,26,96,107,6.55556,4.55556
COC1=CC(OC)=C2C(=O)C(=O)C2=C1,149,4,0,2,0.133333,0.453,51.964,192.042,8.72919,283,21,74,91,5.66667,3.22222
IC12CC3CC(CC(C3)C1)C2,75.5,0,0,0,0,3.3902,54.923,262.022,10.0778,124,15,68,82,2.89583,2.125
CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC,-35,2,0,14,0.7,5.9729,91.374,294.256,5.35011,1506,19,80,79,7.36111,5.41667
NS(=O)(=O)C1=C(Cl)C=C2NC(NS(=O)(=O)C2=C1)C(Cl)Cl,270,5,3,2,0.0952381,0.821,76.0514,378.902,13.5322,738,35,110,130,9.79167,4.04167
BrC1=C2C=CC=CC2=C(Br)C2=C1C=CC=C2,226,0,0,0,0,5.518,76.854,333.899,13.9125,378,29,88,108,4.66667,3.5
CC(=O)C1=C2C=CC=CC2=CC2=C1C=CC=C2,74,1,0,1,0.0526316,4.1956,71.4585,220.089,7.58927,452,29,92,111,4.91667,3.72222
CN1C(C)=CC2=C1C=CC=C2,56.5,1,0,0,0,2.48672,47.656,145.089,6.59496,138,15,58,69,3.69444,2.41667
NN(C1=CC=CC=C1)C1=CC=CC=C1,50.5,2,1,2,0.133333,2.6984,59.2104,184.1,7.08077,307,18,68,77,3.83333,3.22222
CCCCCO,-1,1,1,3,0.6,1.1689,26.6108,88.0888,4.89382,35,3,18,16,3,1.75
CC1=CC2=C(C=C1)C=C(C)C=C2,112,0,0,0,0,3.45664,53.422,156.094,6.50391,186,16,62,71,3.94444,2.61111
CCCCCCF,-103,0,0,4,0.666667,2.5362,30.117,104.1,5.20501,56,4,22,20,3.25,2
NC1=CC(=C(C=C1)C1=C(C=C(N)C=C1)C(F)(F)F)C(F)(F)F,183,2,2,1,0.0434783,4.5556,70.7068,320.075,10.0023,945,36,118,137,10.2917,4.5
ClCC(=O)C1=CC=C(C=C1)C(=O)C(Cl)Cl,147,2,0,4,0.266667,3.0945,61.317,263.951,11.9978,394,21,70,79,6.80556,3.5
CC1=CC(OP(=O)(OC2=CC(C)=CC=C2C)OC2=C(C)C=CC(C)=C2)=C(C)C=C1,79.8,4,0,6,0.193548,7.18202,117.239,410.165,7.32437,2140,45,152,175,11.0625,6.20833
O=C(OCC=CC1=CC=CC=C1)C=CC1=CC=CC=C1,44,2,0,5,0.238095,3.9564,81.911,264.115,7.33653,1066,22,92,99,5.33333,4.66667
COC1=CC=C(C)C(=C1)C(O)=O,147,2,1,2,0.166667,1.70182,44.6903,166.063,7.54832,193,16,56,63,5.44444,2.80556
NC(=O)CC1=CC=CS1,147,2,1,2,0.222222,0.7759,37.2174,141.025,8.81405,93,6,40,42,3.47222,2.08333
CSCCC(O)=O,16,2,1,3,0.5,0.8241,30.6348,120.025,8.00163,52,4,24,22,3.86111,1.83333
COC1=CC2=C(C=C1OC)C1CC(=O)C(CC(C)C)CN1CC2,128,4,0,4,0.16,3.2381,90.133,317.199,6.34398,1164,40,122,146,8.25,5.13889
OC(=O)C1=CC(Cl)=NC=C1,231,2,1,1,0.1,1.4332,36.2063,156.993,11.2138,117,11,46,50,4.33333,2.27778
CC1=CC=C(OC2=CC=C(C=C2)N(=O)=O)C=C1,69,3,0,3,0.166667,3.69552,64.3494,229.074,8.18121,586,22,84,94,5.80556,3.77778
CO\N=C(\C1=NOCCO1)C1=CC=CC=C1OC1=C(F)C(OC2=CC=CC=C2Cl)=NC=N1,105,9,0,7,0.2,4.5645,112.917,458.079,9.54332,3020,51,164,192,9,7.25
[O-][P+](C1SC(=CC(=C1)C1=CC=CC=C1)C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,174,2,0,5,0.138889,6.1279,139.289,450.121,8.18401,2620,55,172,206,7.59028,7.05556
CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N1C2CCCC2CC1C(O)=O,109,5,2,9,0.28125,2.3832,111.798,416.231,6.71341,2546,45,152,178,10.6111,6.77778
FC1=C(N=CC=C1)C#N,28.5,2,0,0,0,1.09238,28.91,122.028,10.169,86,10,40,44,3.47222,2.19444
CCCC1=CC=C(OCC(=O)N2CCN(CC2)C(=O)COC2=CC=C(CCC)C=C2OC)C(OC)=C1,128,6,0,12,0.315789,3.7374,138.128,498.273,6.73342,5174,55,176,202,12.1111,8.44444
COC(=O)C1=CC=C(OC)C(N)=C1,85,4,1,2,0.153846,1.064,48.7459,181.074,7.54475,252,18,60,68,5.69444,3.13889
CN1C2=C(C=CC=C2)N2C1=C(C#N)C1=CN=CC=C1C2=O,296,5,0,0,0,2.21108,80.16,274.085,8.84147,771,42,120,152,6.25,4.61111
COC(=O)C1=CC=C(C(=O)OC)C(F)=C1,82,4,0,2,0.133333,1.3989,49.079,212.048,8.83535,378,22,70,80,6.80556,3.58333
COC1=C2OC3C(O)CC=C4C5CC(C=C1)=C2C34CCN5C,127.5,4,1,1,0.0384615,1.6452,82.5338,299.152,6.95703,824,51,136,178,6.3125,4.625
CN(C)CCCNC1=C2C=CC=CC2=NC2=CC=CC(=C12)N(=O)=O,134.5,5,1,6,0.230769,3.6598,97.5641,324.159,7.36724,1295,39,124,146,7.88889,5.33333
COC1=CC(OC)=NC(SC2=CC=CC3=C2C(=O)OC3C)=N1,163.4,7,0,4,0.166667,2.8764,79.5315,318.067,8.83521,1039,35,116,138,7.38889,4.94444
CC(C)COC1=CC2=CC=CC=C2C=C1,31,1,0,3,0.1875,3.8746,64.281,200.12,6.45549,392,19,74,83,4.69444,3.36111
OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Br)C=C1,155,3,1,6,0.214286,4.5347,103.677,419.09,8.55285,2035,39,134,154,8.47917,5.69444
ClC1=CC(C2=NN=NN2)=C(Cl)C=C1,157,3,1,1,0.0714286,2.1735,49.6337,213.981,12.5871,235,16,66,76,4.19444,2.88889
[O-][N+](=O)C1=C(Br)C=CC(F)=C1,38,2,0,1,0.0909091,2.4964,40.7544,218.933,15.6381,148,14,52,58,5.19444,2.47222
COC1=C(C=CC=C1Cl)[N+]([O-])=O,58,3,0,2,0.166667,2.2568,44.6584,187.004,10.3891,186,17,56,64,5.44444,2.83333
O=N(=O)C1=CC=C(C=C1)N(\N=C\C1=CC=CC=C1)P(=O)(N1CC1)N1CC1,149,4,0,7,0.241379,3.1746,100.364,371.115,8.43443,1641,43,142,172,7.59028,5.63889
ClCC1(CCl)CCC(CCl)(CCl)C1=O,72,1,0,4,0.285714,3.2773,61.987,275.964,10.614,270,26,70,87,6.73611,3.5
CC12CCC3C(CCC4CC(O)(CCC34C)C#CCl)C1CCC2O,120,2,2,0,0,4.3208,96.3126,350.201,6.3673,1214,50,142,179,8.49306,5.01389
CCCCCCCCCCC#N,-6,1,0,8,0.727273,4.04078,52.84,167.167,5.06568,286,9,42,40,4.5,3.25
NC(=O)C(=C/C1=C(Cl)C=C(Cl)C=C1)\C1=NC2=C(S1)C=CC=C2,263,3,1,3,0.125,4.629,93.1474,347.989,10.8747,1055,33,116,136,7.38889,4.77778
OC1=C(O)C(F)=CC=C1,72,2,2,0,0,1.2369,29.7296,128.027,9.14481,82,11,42,47,4.08333,2.05556
CCO[Si](C)(C)C,-83,1,0,2,0.333333,1.8578,34.972,118.081,5.62292,46,4,28,26,4.5625,1.625
NC1=CC(Cl)=CC=C1N(=O)=O,127.8,3,1,1,0.0909091,1.8304,42.5188,172.004,10.7502,150,14,52,58,5.19444,2.47222
COC1=CC=C(C=C1OC)C(=O)C1=CC=CC(C)=C1,93,3,0,4,0.2,3.24322,74.1575,256.11,7.31743,720,29,94,109,6.91667,4.41667
CN1C(=NC2=C1C=CC=C2)C(=C\C1=CC(O)=CC=C1)\C#N,240,4,1,2,0.0869565,3.34308,82.3048,275.106,8.09135,928,32,110,130,6.52778,4.69444
NC1=NC=NC2=C1N=CN2CCC#N,255,6,1,2,0.133333,0.32218,49.9654,188.081,8.54914,303,19,70,82,4.44444,3.25
OC(=O)C1=CC=CC(=C1)S(=O)(=O)OC1=CC2=CC=CC=C2C=C1,155,4,1,4,0.16,3.3057,85.1631,328.041,9.37259,1234,36,122,142,7.72917,4.93056
NC(=O)C1=CC(Br)=NC=C1,192,2,1,1,0.1,0.943,40.4549,199.959,13.3306,117,11,46,50,4.33333,2.27778
CCCCCCC1=CC=C(C=C1)C1=CC=CC=C1,30,0,0,6,0.315789,5.4764,79.724,238.172,5.9543,737,22,84,93,4.83333,4.27778
CCOC(=O)C(=N\NC1=CC=C(C=C1)C(O)=O)\C#N,219,6,2,5,0.263158,1.23938,66.705,261.075,8.7025,826,25,86,95,7.80556,4.55556
CC(C)(C1CCCCC1)C1CCCCC1,15.6,0,0,2,0.125,5.1732,66.931,208.219,4.8423,352,22,76,88,4.78472,3.33333
CCCCCCCCCCCCOC(=O)C1=CC=C(N)C=C1,82,3,1,12,0.545455,5.3465,92.9809,305.235,5.75916,1546,24,94,99,7.33333,5.36111
CCCCOC1=CC=C(C=C1)C1=NN(CCC#N)C(=S)N1,114.55,5,1,7,0.318182,3.70027,83.4807,302.12,7.74667,1107,27,100,113,6.80556,4.97222
OC(=O)[C@H]1CC=CC[C@H]1C(O)=O,167.5,2,2,2,0.166667,0.738,40.6256,170.058,7.7299,188,16,56,63,5.44444,2.75
O[C@@H]([C@@H]1CCC2=C(C=CC=C2)C1=O)C1=CC=C(Cl)C=C1Cl,172,2,1,2,0.0869565,4.4721,84.0053,320.037,9.14392,900,36,112,134,7.13889,4.58333
NC1=C(F)C=CC(=C1)[N+]([O-])=O,101,3,1,1,0.0909091,1.3161,37.4668,156.034,9.75209,152,14,52,58,5.19444,2.47222
N#CN=C(OC1=CC=CC=C1)OC1=CC=CC=C1,157,4,0,2,0.105263,2.98148,67.188,238.074,8.50265,662,21,84,92,4.83333,4.25
CC=CC,-0.5,0,0,0,0,1.5824,20.488,56.0626,4.67188,10,1,10,8,2.5,1.25
OC(=O)CC1=CC(Cl)=C(F)C=C1,57,1,1,2,0.166667,2.1062,42.7498,188.004,10.4447,205,14,56,61,5.44444,2.69444
CCC(Cl)=O,-94,1,0,1,0.25,1.1618,21.151,92.0029,9.20029,18,2,16,14,3.36111,1.33333
CC1=CC(=CC=C1F)C#N,55,1,0,0,0,2.0058,35.852,135.048,8.44053,117,12,46,51,4.33333,2.36111
N#CCCN1CCN(CCC#N)CC1,65,4,0,4,0.285714,0.43136,53.34,192.137,6.40458,367,15,60,64,4.72222,3.5
OC1=CC=C(C=C1)C(=O)C1=CC=CC=C1F,117,2,1,2,0.117647,2.7623,57.9393,216.059,8.64235,441,23,80,92,5.55556,3.58333
ClC1=CC(Cl)=NC=C1,-1,1,0,0,0,2.3884,34.257,146.964,13.3604,61,7,36,38,3.22222,1.83333
CC(C)C1CCC(C)CC1OC(=O)C(=O)C=CC1=CC=CC=C1,45.5,3,0,5,0.208333,4.2729,91.706,314.188,6.412,1330,32,112,126,8.52778,5.16667
CC1=CC(C)=C(CCO)C(C)=C1,82,1,1,2,0.166667,2.14666,51.4428,164.12,5.86143,193,16,56,63,5.44444,2.80556
CC(C)NC1=NC(NC(C)C)=NC(Cl)=N1,213,5,2,4,0.266667,2.1656,62.3544,229.109,7.39063,386,17,70,75,6.80556,3.33333
CCOC=C1N=C(OC1=O)C1=CC=CC=C1,95,4,0,3,0.176471,1.8679,58.78,217.074,8.03977,467,20,78,89,4.94444,3.72222
CC1=CC=CC=C1P(Cl)C1=CC=CC=C1C,57,0,0,2,0.117647,3.88994,74.399,248.052,8.26841,423,24,80,93,5.55556,3.61111
CC1=NC2=CC(=CC=C2O1)C1=CC=CC=C1,63,2,0,1,0.0555556,3.80322,64.182,209.084,7.74385,435,22,86,101,4.05556,3.47222
CC1=C2C(=O)C3=C(C=CC=C3)C(=O)C2=C(C)C=C1,140.5,2,0,0,0,3.07884,69.223,236.084,7.86946,511,35,100,124,6.38889,3.88889
COC1=CC(OCC2=CC=CC=C2)=CC=C1C=O,96,3,0,5,0.263158,3.0867,69.1555,242.094,7.56545,681,24,86,97,5.44444,4.27778
CCCCN(CCN(CCCC)C(=O)N1CCOCC1)C(=O)N1CCOCC1,41.5,4,0,9,0.310345,2.095,108.538,398.289,6.03469,2174,39,130,146,9.16667,6.69444
OC1=NC(F)=CC=C1,127,2,1,0,0,0.9263,25.8598,113.028,9.41897,61,7,36,38,3.22222,1.83333
OCCCCCCCCC=C,-13,1,1,8,0.8,2.8954,49.6018,156.151,5.03714,220,8,38,36,4.25,3
CC(=O)NC1=CC=C(C=C1)S(=O)(=O)NC1=CC=C(C=C1)N(=O)=O,240,5,2,5,0.208333,2.354,84.6506,335.058,9.30716,1356,33,116,131,9.22917,4.98611
CCC(=O)N1C(=O)N(C2CCN(CCC(C#N)(C3=CC=CC=C3)C3=CC=CC=C3)CC2)C2=CC=CC=C12,147,6,0,7,0.170732,5.39008,145.72,492.253,7.13409,4544,67,198,241,10.6736,8.36111
CC1=CC=C(CO)C=C1C,64,1,1,1,0.1,1.79574,41.8388,136.089,6.18586,117,12,46,51,4.33333,2.36111
COC1=CC(Br)=CC(F)=C1F,35,1,0,1,0.0909091,2.7359,40.61,221.949,13.8718,146,15,52,59,5.19444,2.55556
OC\C=C\C1=CC=C(C=C1)[N+]([O-])=O,127,3,1,3,0.230769,1.6003,49.2162,179.058,8.13901,280,15,58,63,5.08333,3.11111
OC1=C(O)C(Br)=C(Br)C(Br)=C1Br,191,2,2,0,0,4.1478,60.5716,421.679,30.1199,174,21,60,72,6.66667,2.66667
FC1=C(F)C(F)=C(I)C(F)=C1F,-29,0,0,0,0,2.9867,38.949,293.896,24.4914,174,21,60,72,6.66667,2.66667
CCN(CC1=CC=NC=C1)C(=O)C(CO)C1=CC=CC=C1,96,3,1,6,0.272727,2.2062,81.5968,284.152,6.93055,956,30,100,114,6.80556,5
COC(=O)C1=C(C)C=C(C)C=C1,-2,2,0,1,0.0833333,2.09004,47.2555,164.084,6.83682,195,16,56,63,5.44444,2.80556
COC1=CC=C(F)C(F)=C1CBr,47,1,0,2,0.166667,2.8683,45.541,235.965,12.4192,186,18,56,65,5.44444,2.91667
CCCCCCCCC1=CC=C(C=C1)C(Cl)=CC1=CC=C(OCC)C=C1,32,1,0,11,0.407407,7.7252,114.857,370.206,6.49485,2235,33,120,132,8.05556,6.19444
FC1=CC(Br)=CC(F)=C1C=O,77.5,1,0,1,0.0909091,2.5398,39.4455,219.934,15.7095,146,15,52,59,5.19444,2.55556
CN(C1=CC=CC=C1)C1=CC=CC=C1,-7.6,1,0,2,0.133333,3.4545,60.947,183.105,6.78166,307,18,68,77,3.83333,3.22222
ClC(=O)C(Cl)(Cl)Cl,-31.8,1,0,0,0,2.122,31.15,179.87,25.6958,42,6,30,30,5.17361,1.5
CC1=CC=C(CCCC(O)=O)C=C1,57,1,1,4,0.307692,2.40232,51.7528,178.099,6.59627,292,13,58,61,5.08333,3
