SMILES,logS,nHBAcc,nHBDon,nRot,RotRatio,SLogP,SMR,MW,AMW,WPath,WPol,Zagreb1,Zagreb2,mZagreb1,mZagreb2
NC1=CC=C(C=C1)C1=CC=C(N)C=C1,-2.7,2,2,1,0.0666667,2.518,60.7028,184.1,7.08077,315,18,70,79,4.44444,3.11111
CCCCCC(O)=O,-1.06,1,1,4,0.571429,1.6513,31.7778,116.084,5.80419,79,5,28,26,4.11111,2.08333
CC(C)CNC(=O)N1CCNC1=O,-2.15,2,2,2,0.153846,0.3772,48.3414,185.116,6.6113,266,14,60,66,5.69444,2.97222
ClCCS(=O)(=O)CCCl,-1.5,2,0,4,0.5,0.8788,40.0938,189.962,11.1742,96,8,36,36,5.0625,2.25
CSC1=NC(NC(C)C)=NC(NC(C)C)=N1,-4.1,6,2,5,0.3125,2.2341,69.1254,241.136,6.8896,458,19,74,80,7.05556,3.66667
OC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,-4.28,1,1,0,0,4.6592,53.1568,263.847,20.2959,174,21,60,72,6.66667,2.66667
CC1C2C(CC3C4CC=C5CC(O)CCC5(C)C4CCC23C)OC11CCC(C)CO1,-7.32,3,1,0,0,5.7139,117.701,414.313,5.75435,2253,66,186,239,9.4375,6.06944
CC1=CC=CC=C1C(O)=O,-2.06,1,1,1,0.1,1.69322,38.1383,136.052,7.55847,114,12,46,51,4.33333,2.30556
CC(C)CO,0.04,1,1,1,0.25,0.6347,21.9238,74.0732,4.93821,18,2,16,14,3.36111,1.33333
COC1=C(OC)C=C2C3C(COC2=C1)OC1=C(C=CC2=C1CC(O2)C(C)=C)C3=O,-4.42,6,0,3,0.0909091,3.7033,105.905,394.142,7.72827,2115,57,166,207,9.19444,6.27778
O=CNC1=CC=CC=C1,-0.68,1,1,2,0.222222,1.2549,36.1287,121.053,7.5658,94,8,38,40,2.86111,2.25
CCOC(=O)C1(CCN(C)CC1)C1=CC=CC=C1,-1.89,3,0,3,0.157895,2.2131,71.484,247.157,6.33736,568,29,90,106,6.14583,4.16667
ClCCOCCCl,-1.12,1,0,4,0.666667,1.4806,32.259,141.995,9.46635,56,4,22,20,3.25,2
O1C=NC2=C1C=CC=C2,-1.16,2,0,0,0,1.8278,34.009,119.037,8.50265,79,9,46,53,1.97222,2.02778
CCCCC#C,-2.36,0,0,2,0.4,1.8098,28.358,82.0783,5.12989,35,3,18,16,3,1.75
CCCNCCC,-0.46,1,1,4,0.666667,1.396,33.4517,101.12,4.59638,56,4,22,20,3.25,2
CN(C)CCC=C1C2=CC=CC=C2CCC2=C1C=CC=C2,-4.46,1,0,3,0.130435,4.1686,90.542,277.183,6.29961,882,35,108,126,5.91667,4.69444
COC1=CC=C(C=C1)C(O)(C1CC1)C1=CN=CN=C1,-2.6,4,1,4,0.190476,2.1311,70.7488,256.121,7.31775,673,32,102,124,5.50694,4.25
CC1=CC(=O)NC(=S)N1,-2.43,2,2,0,0,0.74091,36.9844,142.02,9.46801,84,9,42,45,4.08333,2
CNC(=O)OC1=CC=C(N(C)C)C(C)=C1,-2.36,3,1,2,0.133333,1.77922,60.5897,208.121,6.71359,392,20,70,78,6.80556,3.47222
CC(=O)NC1=CC=C(Br)C=C1,-3.08,1,1,1,0.0909091,2.4075,48.4457,212.979,11.2094,166,11,50,53,4.58333,2.5
CN1C=C(C(=O)C(=C1)C1=CC(=CC=C1)C(F)(F)F)C1=CC=CC=C1,-4.44,2,0,2,0.0769231,4.7381,87.557,329.103,8.6606,1293,39,128,150,8.59028,5.11111
CC1=NC2=C(C=N1)N=CC=N2,-0.12,4,0,0,0,0.72822,39.865,146.059,8.59172,144,14,56,64,3.08333,2.44444
CCCCCCCCBr,-5.06,0,0,6,0.75,3.7418,47.17,192.051,7.38659,120,6,30,28,3.75,2.5
ClCC=C,-1.36,0,0,1,0.333333,1.4112,20.917,76.008,8.44533,10,1,10,8,2.5,1.25
CC1NC2=CC(Cl)=C(C=C2C(=O)N1C1=CC=CC=C1C)S(N)(=O)=O,-3.78,4,2,2,0.0769231,2.71412,93.8984,365.06,9.1265,1228,44,132,159,9.8125,5.02778
CCC(=O)C1=CC=CC=C1,-1.83,1,0,2,0.2,2.2793,41.0635,134.073,6.70366,121,11,44,48,3.72222,2.44444
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,-2.52,3,2,4,0.25,1.185,58.4774,226.132,6.65093,398,29,78,94,7.75694,3.79167
CC(=O)CC(C)=O,0.22,2,0,2,0.333333,0.5545,25.979,100.052,6.67016,48,4,26,24,4.47222,1.66667
CCC(O)CC,-0.24,1,1,2,0.4,1.1673,26.5888,88.0888,4.89382,31,4,20,19,3.61111,1.66667
CC1=CC=C(C)C=C1,-2.77,0,0,0,0,2.30344,35.916,106.078,5.89324,62,7,36,38,3.22222,1.83333
NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CS1,-2.43,5,2,3,0.176471,1.5261,63.7769,255.014,10.2005,448,20,82,93,5.64583,3.45833
CC1=CSC=C1,-2.39,1,0,0,0,2.05652,29.056,98.019,8.16825,26,2,26,27,2.11111,1.41667
NS(=O)(=O)C1=CC=CC=C1,-1.56,2,1,1,0.1,0.334,37.8152,157.02,9.23646,114,11,48,52,4.42361,2.16667
CCCCC=C,-3.23,0,0,3,0.6,2.3626,29.722,84.0939,4.67188,35,3,18,16,3,1.75
CCC(C)(C)O,0.08,1,1,1,0.2,1.1673,26.5888,88.0888,4.89382,28,3,24,22,4.3125,1.375
CCN1C=C(C(O)=O)C(=O)C2=C1N=C(N=C2)N1CCNCC1,-2.98,7,2,3,0.125,-0.0808,81.514,303.133,7.77264,1016,38,116,139,7.38889,4.91667
CCC1(C(=O)NCNC1=O)C1=CC=CC=C1,-2.64,2,2,2,0.117647,0.5379,59.5634,218.106,7.27018,385,29,82,100,5.64583,3.70833
CC(C)COC(=O)C=C,-1.21,2,0,3,0.375,1.3716,35.994,128.084,6.09923,104,7,34,33,4.97222,2.25
OC(=O)C1=CC=CC=C1,-1.55,1,1,1,0.111111,1.3848,33.4013,122.037,8.13579,88,9,40,43,3.47222,2.11111
CCCCCCCCCCC(O)=O,-3.55,1,1,9,0.75,3.6018,54.8628,186.162,5.31891,354,10,48,46,5.36111,3.33333
CN(C)C(=O)N(C)C,0.94,1,0,0,0,0.2296,32.77,116.095,5.80475,65,8,32,33,5.33333,1.88889
OC1=C(O)C=CC=C1,0.62,2,2,0,0,1.0978,29.7716,110.037,7.85977,60,8,36,39,3.22222,1.86111
CN1CCCCC1,0.23,1,0,0,0,1.1021,31.348,99.1048,4.95524,42,5,30,31,2.36111,1.66667
COP(=S)(OC)OC1=CC(C)=C(C=C1)N(=O)=O,-4.04,6,0,5,0.294118,2.79932,66.7644,277.017,9.55232,540,25,82,93,8.00694,3.93056
CCCCCCCCN,-2.75,1,1,6,0.75,2.3056,42.4304,129.152,4.61256,120,6,30,28,3.75,2.5
CC(=O)NS(=O)(=O)C1=CC=C(N)C=C1,-1.23,4,2,2,0.142857,0.0936,51.8569,214.041,8.91838,307,18,68,75,6.64583,3.04167
OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1.09,6,6,5,0.454545,-3.5854,38.1988,182.079,7.00304,206,16,50,55,6.94444,3
CCCCS,-2.18,1,1,2,0.5,1.7163,28.761,90.0503,6.00335,20,2,14,12,2.75,1.5
CCCC(C)O,-0.29,1,1,2,0.4,1.1673,26.5888,88.0888,4.89382,32,3,20,18,3.61111,1.58333
CCCCC(CC)CN,-1.71,1,1,5,0.625,2.1615,42.3604,129.152,4.61256,104,8,32,32,4.36111,2.5
CCCC(O)CCC,-1.4,1,1,4,0.571429,1.9475,35.8228,116.12,4.83834,75,6,28,27,4.11111,2.16667
CN(C)C(=O)NC1=CC=C(OC2=CC=C(Cl)C=C2)C=C1,-4.89,2,1,3,0.142857,4.2258,80.6737,290.082,8.28806,962,26,98,109,7.16667,4.44444
ClCC(Cl)Cl,-1.48,0,0,1,0.25,2.0289,26.214,131.93,16.4913,18,2,16,14,3.36111,1.33333
CCCCCCCC(=O)OCC,-3.39,2,0,7,0.636364,2.91,50.009,172.146,5.37957,265,10,44,43,5.11111,3.16667
CCCCCCC1=C(O)C=C(O)C=C1,-2.59,2,2,5,0.357143,3.2206,57.6176,194.131,6.06658,354,16,62,67,5.33333,3.36111
CCCC(C)(COC(N)=O)COC(N)=O,-1.67,4,2,6,0.428571,0.9834,54.0858,218.127,6.6099,406,16,64,66,7.78472,3.54167
NC(=S)NC1=CC=CC=C1,-1.77,1,2,1,0.1,1.3421,46.8501,152.041,8.44671,126,9,44,46,3.72222,2.33333
CC1=CC2=C(C=C1)C=C1C=CC=CC1=C2,-6.96,0,0,0,0,4.30142,66.191,192.094,7.11459,342,23,82,97,3.80556,3.22222
ClCCBr,-1.32,0,0,1,0.333333,1.6201,24.514,141.918,17.7398,10,1,10,8,2.5,1.25
CCC(=O)NC1=CC(Cl)=C(Cl)C=C1,-3,1,1,2,0.153846,3.3419,55.3827,217.006,9.86391,262,16,60,66,5.69444,3.02778
CC1=CC=CC(=C1)N(=O)=O,-2.44,2,0,1,0.1,1.90322,37.8334,137.048,8.06163,117,11,46,50,4.33333,2.27778
S=C1NC2=C(C=N1)N=CC=N2,-2.36,4,1,0,0,1.08239,42.5177,164.016,10.9344,144,14,56,64,3.08333,2.44444
CCOC(=O)C1=CC=C(N)C=C1,-2.32,3,1,2,0.166667,1.4455,46.8109,165.079,7.17735,211,14,54,59,4.83333,2.86111
COC1=C(O)C2=C(CCC34C=CC(=O)CC23CCN4C)C=C1,-1.87,4,1,1,0.04,2.1881,83.3998,299.152,6.95703,847,49,130,168,7.29167,4.72917
C1CC=CC1,-2.1,0,0,0,0,1.7265,22.991,68.0626,5.23558,15,0,20,20,1.25,1.25
CC(C)(C)CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC12C,-5.51,6,2,4,0.111111,3.7687,123.088,460.282,6.30524,3111,67,190,235,13.8889,6.72917
COCOC,0.48,2,0,2,0.5,0.2367,18.885,76.0524,5.85019,20,2,14,12,2.75,1.5
N1C2=C(C=CC3=C2C=CC=C3)C2=C1C1=C(C=CC=C1)C=C2,-7.42,0,1,0,0,5.6275,90.8167,267.105,7.85602,831,39,124,155,4.13889,4.44444
ClC1=CC(=C(Cl)C=C1)C1=CC=CC=C1Cl,-6.02,0,0,1,0.0625,5.3138,66.908,255.961,11.6346,346,22,76,88,5.30556,3.33333
C[C@]12CCC(=O)C=C1CC[C@H]1[C@@H]3CC[C@H](C(=O)CO)[C@]3(C[C@H](O)[C@H]21)C=O,-3.85,5,2,3,0.103448,1.8457,94.0726,360.194,6.67025,1436,56,150,191,9.51389,5.65278
OCC1=C(O)C=CC=C1,-0.29,2,2,1,0.111111,0.8845,34.0296,124.052,7.2972,86,10,40,44,3.47222,2.19444
CC(CCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,-3.64,3,3,4,0.129032,4.4779,108.647,392.293,5.76901,1910,56,160,199,10.625,5.86111
O=C1OC(=O)C2=CC=CC=C12,-1.39,3,0,0,0,0.9972,36.188,148.016,9.86774,137,15,58,69,3.69444,2.41667
O=C(NC(=O)C1=CC=CC=C1)C1=CC=CC=C1,-2.27,2,1,2,0.111111,2.2568,64.6807,225.079,8.03853,560,22,82,92,5.19444,3.88889
CCN(N=O)C(N)=O,-0.96,3,1,2,0.285714,0.0684,27.7584,117.054,7.80359,67,8,30,31,4.72222,2.11111
C1=CC2=C(C=C1)C1=C3C2=CC2=C(C=CC=C2)C3=CC=C1,-8.23,0,0,0,0,5.6404,85.884,252.094,7.87793,676,39,120,152,3.88889,4.22222
CCOC1=CC=C2N=C(SC2=C1)S(N)(=O)=O,-3.81,5,1,3,0.176471,1.3424,62.1622,258.013,9.92359,442,22,84,97,6.25694,3.44444
CCCCCCCCCCCCCC(O)=O,-5.33,1,1,12,0.8,4.7721,68.7138,228.209,5.18657,667,13,60,58,6.11111,4.08333
CN(C)CCCN1C2=CC(Cl)=CC=C2SC2=C1C=CC=C2,-5.01,3,0,4,0.173913,4.8944,92.194,318.096,7.95239,896,33,110,129,6.52778,4.61111
COP(=S)(OC)OC1=CC(C)=C(SC)C=C1,-4.57,5,0,5,0.3125,3.61302,71.891,278.02,8.96839,457,23,76,86,7.14583,3.81944
CC(CCC(=O)NCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,-5.15,5,5,6,0.166667,2.5649,123.047,465.309,6.12249,3187,65,184,227,13.0972,6.98611
OC(=O)C1=CC=CC=C1Cl,-1.89,1,1,1,0.1,2.0382,38.4113,155.998,10.3999,114,12,46,51,4.33333,2.30556
ClC1=CC=CC(Br)=C1,-3.21,0,0,0,0,3.1025,39.152,189.918,15.8265,61,7,36,38,3.22222,1.83333
NC(=O)C=C,0.96,1,1,1,0.25,-0.3423,19.3914,71.0371,7.10371,18,2,16,14,3.36111,1.33333
COP(=S)(OC)OC1=CC=C(C=C1)N(=O)=O,-3.68,6,0,5,0.3125,2.4909,62.0274,263.002,10.1155,473,22,76,85,7.14583,3.73611
ClC1=CC=C(C=C1)C1=CC=CC=C1Cl,-5.28,0,0,1,0.0666667,4.6604,61.898,222,10.0909,301,19,70,80,4.44444,3.13889
CC(C)NC1=NC(NC(C)C)=NC(Cl)=N1,-4.43,5,2,4,0.266667,2.1656,62.3544,229.109,7.39063,386,17,70,75,6.80556,3.33333
CCCCCCCCC=O,-3.17,1,0,7,0.777778,2.9359,44.057,142.136,5.07628,165,7,34,32,4,2.75
CCCCCC(C)O,-1.55,1,1,4,0.571429,1.9475,35.8228,116.12,4.83834,79,5,28,26,4.11111,2.08333
COC1=CC=C(Cl)C=C1C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,-5.09,5,3,8,0.228571,3.6417,126.209,493.144,8.08432,3998,49,166,189,11.4514,7.34722
ClC1=CC(Cl)=C(C(Cl)=C1)C1=C(Cl)C=C(Cl)C=C1Cl,-8.71,0,0,1,0.0526316,7.274,81.938,357.844,16.2657,555,30,94,111,7.88889,3.88889
CCCCCCCCCCCCCCCCCC(O)=O,-5.68,1,1,16,0.842105,6.3325,87.1818,284.272,5.07628,1313,17,76,74,7.11111,5.08333
CN1CCCCC1C(=O)NC1=C(C)C=CC=C1C,-1.55,2,1,2,0.105263,2.72624,74.8147,246.173,6.15433,609,27,90,104,6.66667,4.02778
CC(=O)OC1(CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC12C)C(C)=O,-5.35,4,0,2,0.0645161,4.5753,106.411,384.23,6.40383,1759,62,164,209,11.3264,5.8125
CN1CCCC1=O,1,1,0,0,0,0.2386,26.871,99.0684,6.19178,40,5,32,35,2.97222,1.61111
CCOC1=CC=CC=C1,-2.33,1,0,2,0.222222,2.0853,37.611,122.073,6.4249,94,8,38,40,2.86111,2.25
CN(C)C(=O)NC1=CC(=CC=C1)C(F)(F)F,-3.43,1,1,1,0.0625,2.7989,54.1497,232.082,8.59564,457,21,78,86,7.75694,3.44444
CCC(C)(O)C(C)C,-0.85,1,1,2,0.285714,1.8034,35.7528,116.12,4.83834,62,9,34,36,5.42361,1.875
CCC1NC(=O)NC1=O,-0.06,2,2,1,0.111111,-0.3956,30.7534,128.059,7.53286,85,9,42,47,4.08333,2.11111
CC1=C(C=CO1)C(=O)NC1=CC=CC=C1,-3.3,2,1,2,0.125,2.84032,57.8402,201.079,7.73381,384,18,74,84,4.69444,3.38889
CN(C)C=NC1=C(C)C=C(Cl)C=C1,-2.86,1,0,2,0.153846,2.86982,58.028,196.077,7.54141,266,15,60,65,5.69444,2.94444
FC1=CC=CC=C1,-1.8,0,0,0,0,1.8257,26.4,96.0375,8.00313,42,5,30,31,2.36111,1.66667
NCCCCCCCCCCC(O)=O,-2.7,2,2,10,0.769231,2.5406,58.2432,201.173,5.4371,444,11,52,50,5.61111,3.58333
CCCCN(CCCC)CCCC,-3.12,1,0,9,0.75,3.6887,61.164,185.214,4.63036,300,12,48,48,5.36111,3.5
CCC1=CC=C(CC)C=C1,-3.75,0,0,2,0.2,2.8114,45.198,134.11,5.5879,125,11,44,48,3.72222,2.5
CC12CC(O)C3(F)C(CCC4=CC(=O)C=CC34C)C1CC(O)C2(O)C(=O)CO,-3.69,6,4,2,0.0645161,0.6205,96.7872,394.179,7.16689,1670,70,168,221,12.0278,5.81944
FC(F)(F)C1=CC=CC(=C1)C(N1C=NC=N1)(C1=CC=CC=C1)C1=CC=CC=C1,-8.4,3,0,4,0.129032,5.1371,99.63,379.13,8.61658,1708,49,152,184,8.18056,6.08333
BrCBr,-1.17,0,0,0,0,1.7337,22.721,171.852,34.3705,4,0,6,4,2.25,1
S1C2=C(C=CC=C2)C2=C1C=CC=C2,-4.38,1,0,0,0,4.0545,59.331,184.035,8.76356,219,19,72,87,2.69444,2.83333
CCCOC,-0.39,1,0,2,0.5,1.0428,22.167,74.0732,4.93821,20,2,14,12,2.75,1.5
CC(C)(C)C(C)(C)O,-0.72,1,1,0,0,1.8034,35.7528,116.12,4.83834,58,9,38,40,6.125,1.5625
CCCCCCCC(=O)OC,-3.39,2,0,6,0.6,2.5199,45.392,158.131,5.45278,206,9,40,39,4.86111,2.91667
CC(OC1=CC=C(Cl)C=C1Cl)C(O)=O,-2.45,2,1,3,0.214286,2.8453,54.1878,233.985,10.6357,316,18,66,73,6.55556,3.13889
ClC1=CC=C(Cl)C(=C1)C1=CC(Cl)=C(Cl)C(Cl)=C1Cl,-7.68,0,0,1,0.0526316,7.274,81.938,357.844,16.2657,559,31,94,112,7.88889,3.91667
CCNC(=S)NCC,-1.46,1,2,2,0.285714,0.4903,39.9514,132.072,6.60361,75,6,28,27,4.11111,2.16667
COC1=CC2=C(C=CN=C2C=C1)[C@H](O)[C@H]1C[C@@H]2CCN1C[C@@H]2C=C,-3.37,4,1,4,0.148148,3.1732,95.0268,324.184,6.75383,1286,42,132,161,7,5.33333
ClC1=CC(Cl)=C(OC2=CC=C(C=C2)N(=O)=O)C=C1,-5.46,3,0,3,0.157895,4.6939,69.6324,282.98,11.3192,667,25,90,102,6.66667,3.97222
CCOC(=O)C=CC1=CC=CC=C1,-3,2,0,3,0.230769,2.2629,52.109,176.084,7.04335,290,13,56,59,4.47222,3.16667
NC(CC(N)=O)C(O)=O,-0.74,3,3,3,0.375,-1.7263,29.4226,132.053,7.76785,96,8,36,36,5.58333,2.11111
OC1=CC=C2CCCCC2=C1,-1.99,1,1,0,0,2.271,44.7488,148.089,6.43864,144,14,56,64,3.08333,2.44444
CCC(C)(C)C1=CC=CC=C1,-4.15,0,0,2,0.181818,3.3742,49.759,148.125,5.48612,150,14,52,58,4.67361,2.54167
CCC1(C(=O)NC(=O)NC1=O)C1=CC2CCC(C2)C1,-2.64,3,2,2,0.0952381,1.4952,67.9364,262.132,7.08464,613,35,106,131,6.72917,4.125
CCCCCCC#C,-3.66,0,0,4,0.571429,2.59,37.592,110.11,5.00498,84,5,26,24,3.5,2.25
FC(F)(F)C(Cl)Br,-1.71,0,0,0,0,2.5085,24.623,195.89,24.4863,42,6,30,30,5.17361,1.5
COC(=O)C1=C(Cl)C(N)=CC(Cl)=C1,-3.26,3,1,1,0.0769231,2.3622,52.2139,218.985,10.9493,234,19,62,71,6.30556,3
CCCCCCCC#C,-4.24,0,0,5,0.625,2.9801,42.209,124.125,4.96501,120,6,30,28,3.75,2.5
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-4.51,0,0,0,0,3.6444,57.846,287.86,15.9922,174,21,60,72,6.66667,2.66667
CCCCCCCCOC(N)=O,-3.3,2,1,7,0.636364,2.4422,48.9114,173.142,5.58521,277,9,44,42,5.11111,3.08333
NC1=CC2=C(C=C1)C=C1C=CC=CC1=C2,-5.17,1,1,0,0,3.5752,65.8664,193.089,7.42651,342,23,82,97,3.80556,3.22222
C1CCOC1,0.56,1,0,0,0,0.7968,20.053,72.0575,5.54289,15,0,20,20,1.25,1.25
CCCCC1C(=O)N(N(C1=O)C1=CC=C(O)C=C1)C1=CC=CC=C1,-3.73,3,1,5,0.192308,3.4934,92.5358,324.147,7.36699,1259,39,124,148,7.88889,5.44444
ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl,-7.33,0,0,0,0,5.2702,78.054,361.876,13.9183,448,43,120,166,7.60417,3.48611
CC1CNC(C)CN1,0.49,2,2,0,0,-0.0438,34.9294,114.116,5.18708,62,7,36,38,3.22222,1.83333
OCC1=C(Cl)C=CC=C1Cl,-2.1,1,1,1,0.1,2.4857,42.3848,175.98,10.9987,112,13,46,52,4.33333,2.38889
OC1=CC=C(O)C(=C1)C1(O)C=CC(=O)C=C1,-1.73,4,3,1,0.0588235,0.9805,56.9554,218.058,8.38684,412,25,84,98,6.25694,3.44444
OC(=O)C1=CC=CC(=C1)N(=O)=O,-1.68,3,1,2,0.166667,1.293,40.0557,167.022,9.82482,197,15,56,62,5.44444,2.72222
N(NC1=CC=CC=C1)C1=CC=CC=C1,-2.92,2,2,3,0.2,3.1256,60.1294,184.1,7.08077,343,15,66,72,3.22222,3.25
CCCC(C)=O,-0.19,1,0,2,0.4,1.3755,25.589,86.0732,5.37957,32,3,20,18,3.61111,1.58333
CCCCCCCC,-5.24,0,0,5,0.714286,3.3668,39.05,114.141,4.39003,84,5,26,24,3.5,2.25
CCC1(C(=O)NC(=O)NC1=O)C1=CCCCCC1,-3,3,2,2,0.105263,1.6393,65.5734,250.132,6.9481,537,35,92,111,6.75694,4.125
OC(=O)C1=CC=CC=C1I,-2.73,1,1,1,0.1,1.9894,46.1183,247.933,16.5289,114,12,46,51,4.33333,2.30556
ClC(Cl)C(Cl)Cl,-1.74,0,0,1,0.2,2.5938,30.988,165.891,20.7364,29,4,22,21,4.22222,1.44444
CCOC(=O)C1=CC=CC=C1,-2.32,2,0,2,0.181818,1.8633,42.3985,150.068,7.1461,164,12,48,52,3.97222,2.69444
OCCC1=CC=CC=C1,-0.74,1,1,2,0.222222,1.2214,37.2318,122.073,6.4249,94,8,38,40,2.86111,2.25
CC1=CC2=C(C=C1C)N(CC(O)C(O)C(O)CO)C1=NC(=O)NC(=O)C1=N2,-3.68,9,5,5,0.172414,-1.72356,95.6209,376.138,8.00294,1698,49,144,173,11.0833,5.88889
ClC1=CC=CC=C1C1=CC=CC=C1,-4.54,0,0,1,0.0714286,4.007,56.888,188.039,8.54724,240,17,64,73,3.58333,2.97222
CC(C)CCOC(=O)C1=CC=CC=C1O,-3.16,3,1,4,0.266667,2.5951,57.8443,208.11,6.71322,412,18,68,74,6.19444,3.47222
CC(C)(C)OC(N)=O,0.1,2,1,0,0,0.8802,30.4214,117.079,6.16205,66,5,34,32,5.42361,1.70833
CCOC(=O)CC,-0.66,2,0,2,0.333333,0.9595,26.924,102.068,6.004,50,5,24,23,3.86111,1.91667
CC(=O)NC(N)=O,-0.9,2,2,0,0,-0.7988,23.4001,102.043,7.84946,48,4,26,24,4.47222,1.66667
CC12CCC3=C(C=CC4=C3C=CC(O)=C4)C1CCC2=O,-5.24,2,1,0,0,3.9444,79.0228,266.131,7.00344,724,39,118,148,6.09028,4.15278
CC1=C(C)N=C(NS(=O)(=O)C2=CC=C(N)C=C2)O1,-2.44,5,2,3,0.157895,1.67444,67.6399,267.068,8.61509,625,25,94,108,7.36806,3.81944
CC(C)CCC(C)=O,-1.33,1,0,3,0.428571,2.0116,34.753,114.104,5.18657,74,5,30,28,4.72222,1.91667
OC1CCOC1,1.05,2,1,0,0,-0.2324,21.4428,88.0524,6.28946,26,2,26,27,2.11111,1.41667
NC1=CC=C(C=C1)S(=O)(=O)NC1=CN=CC=N1,-3.7,5,2,3,0.166667,0.8596,63.6949,250.052,9.2612,536,23,86,97,5.89583,3.70833
